timepoint,11R,11L,11B,11N,11-2R,12R,12L,12B,12-2R,Treatment
0,433,245,515,319,269,423,535,495,218,oHSV + Trab. + anti-NK
7,1298,559,915,307,445,947,817,903,339,oHSV + Trab. + anti-NK
10,1280,832,484,152,404,1450,441,730,400,oHSV + Trab. + anti-NK
11,,,,,,,,,,oHSV + Trab. + anti-NK
14,1748,624,489,127,477,1258,661,552,430,oHSV + Trab. + anti-NK
17,2099,643,406,64,598,2089,1040,1450,449,oHSV + Trab. + anti-NK
18,,675,812,89,670,,1386,2279,623,oHSV + Trab. + anti-NK
20,,1145,833,73,1134,,2170,,729,oHSV + Trab. + anti-NK
21,,749,934,66,1032,,,,694,oHSV + Trab. + anti-NK
24,,843,1485,8,1447,,,,736,oHSV + Trab. + anti-NK
25,,988,1610,5,1475,,,,918.25812,oHSV + Trab. + anti-NK
28,,2038,2576,0,2326,,,,991.47776,oHSV + Trab. + anti-NK
31,,,,0,,,,,1100.55296,oHSV + Trab. + anti-NK
35,,,,0,,,,,2286.219,oHSV + Trab. + anti-NK
38,,,,0,,,,,,oHSV + Trab. + anti-NK
42,,,,0,,,,,,oHSV + Trab. + anti-NK
45,,,,0,,,,,,oHSV + Trab. + anti-NK
49,,,,0,,,,,,oHSV + Trab. + anti-NK
52,,,,0,,,,,,oHSV + Trab. + anti-NK
56,,,,0,,,,,,oHSV + Trab. + anti-NK
59,,,,0,,,,,,oHSV + Trab. + anti-NK
63,,,,0,,,,,,oHSV + Trab. + anti-NK
66,,,,0,,,,,,oHSV + Trab. + anti-NK
70,,,,0,,,,,,oHSV + Trab. + anti-NK
73,,,,0,,,,,,oHSV + Trab. + anti-NK
77,,,,0,,,,,,oHSV + Trab. + anti-NK
80,,,,0,,,,,,oHSV + Trab. + anti-NK
84,,,,0,,,,,,oHSV + Trab. + anti-NK
87,,,,0,,,,,,oHSV + Trab. + anti-NK
91,,,,0,,,,,,oHSV + Trab. + anti-NK
94,,,,0,,,,,,oHSV + Trab. + anti-NK
98,,,,0,,,,,,oHSV + Trab. + anti-NK
101,,,,0,,,,,,oHSV + Trab. + anti-NK
