timepoint,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Treatment
0,102.73536,104.9568,169.9048,99.32624,180.336,164.4682,121.64256,468.66144,111.95392,oHSV + Trab.
3,269.568,284.752,379.392,423.0741,450.528,376.064,391.716,622.1592,375.7,oHSV + Trab.
6,144.144,187.6872,435.6706,437.8306,455.221,363.8232,354.3654,950.976,243.2851,oHSV + Trab.
9,174.0164,220.1909,645.918,525.616,469.6474,480.0255,338.13,1214.104,249.9307,oHSV + Trab.
13,226.38564,235.57248,725.96576,371.4984,347.48116,469.20224,276.224,1218.75,270.3168,oHSV + Trab.
16,168.31152,212.92128,822.2006,318.58112,251.55,290.94208,219.25904,976.534,219.25904,oHSV + Trab.
20,254.852,185.328,1082.7695,575.19904,221.6864,257.47488,180.72756,1013.6672,185.679,oHSV + Trab.
23,398.59872,324.61728,2493.972,1093.7035,235.5418,324.61728,163.3996,1258.7328,127.70472,oHSV + Trab.
27,700.61836,550.16,,1345.48648,196.196,291.13344,173.12256,1405.7472,131.57456,oHSV + Trab.
30,1416.1118,808.83712,,1713.089,163.3996,303.35552,137.37932,1786.058,160.381,oHSV + Trab.
34,1932.613,1440.504,,,102.7354,382.1126,133.925,2596.578,102.245,oHSV + Trab.
37,3168.644,2671.119,,,154.0282,463.0912,,,92.49552,oHSV + Trab.
41,,,,,106.79708,,,,110.69136,oHSV + Trab.
44,,,,,92.95104,,,,91.3952,oHSV + Trab.
48,,,,,97.98984,,,,235.63904,oHSV + Trab.
51,,,,,96.21248,,,,391.60576,oHSV + Trab.
55,,,,,91.234,,,,931.216,oHSV + Trab.
58,,,,,63.49824,,,,1283.75,oHSV + Trab.
62,,,,,,,,,2563.4934,oHSV + Trab.
