timepoint,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,Treatment
0,87.94656,70.33104,94.9442,97.01952,87.17696,67.6,165.73388,81.9,PBS
3,76.7,88.088,357.63728,222.8148,182.07384,130.02444,279.05696,139.9216,PBS
7,173.563,160.992,227.22856,322.4052,194.80032,204.87168,475.17184,125.94816,PBS
10,305.06008,216.58,289.80952,338.44096,201.97632,323.7234,880.5888,199.57184,PBS
14,403.8216,344.89728,420.784,526.5,183.68532,511.41376,1563.7076,154.791,PBS
17,560.6172,132,986.59392,1020.18488,224.09088,1044.472,2808.832,445.835,PBS
21,1333.7506,204.6,2511.02592,2882.425,480.17736,1758.211,,299.52,PBS
24,1512.7814,1858.61,,,839.30652,,,278.40384,PBS
29,2312.8092,,,,2289.664,,,308.07608,PBS
31,,,,,,,,206.388,PBS
35,,,,,,,,30.3264,PBS
38,,,,,,,,0,PBS
42,,,,,,,,0,PBS
45,,,,,,,,0,PBS
49,,,,,,,,0,PBS
52,,,,,,,,0,PBS
56,,,,,,,,0,PBS
59,,,,,,,,0,PBS
63,,,,,,,,0,PBS
66,,,,,,,,0,PBS
70,,,,,,,,0,PBS
73,,,,,,,,0,PBS
77,,,,,,,,0,PBS
80,,,,,,,,0,PBS
84,,,,,,,,0,PBS
87,,,,,,,,0,PBS
91,,,,,,,,0,PBS
94,,,,,,,,0,PBS
98,,,,,,,,0,PBS
101,,,,,,,,0,PBS
105,,,,,,,,0,PBS
