timepoint,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Treatment
0,254.93936,322.816,358.39232,339.456,203.84,300.23136,319.21344,416.08112,259.896,242.775,422.8224,314.6832,256.0896,249.3972,274.95,339.456,442.26,462.592,395.41632,oHSV + Trab.
1,,,,,402.688,421.2,455.221,745.29,421.9488,332.8,563.16,,,,,,,,,oHSV + Trab.
2,,,,,,,,,,,,318.17968,249.3972,250.69824,223.74144,,714.28864,819.02912,663.065,oHSV + Trab.
3,512.77824,611.33904,541.53216,600.704,480.168,551.3664,723.98196,,,,,,,,,600.704,,,,oHSV + Trab.
5,,,,,,,,462.1344,397.63308,211.484,259.12432,,,,,,,,,oHSV + Trab.
6,,,,,,,,,,,,319.345,124.89828,125.61848,185.14496,,490.89768,572.52988,349.648,oHSV + Trab.
7,275.8522,299.52,408.564,777.08176,270.3168,237.21984,326.859,,,,,,,,,777.08176,,,,oHSV + Trab.
8,,,,,,,,464.06672,346.112,173.563,340.7586,,,,,,,,,oHSV + Trab.
9,,,,,299.52,252.81256,237.39716,,,,,,,,,,421.2,451.36728,294.22224,oHSV + Trab.
10,343.89888,263.25,345.30496,946.73124,,,,,,,,198.0576,65.4368,154.02816,124.89828,946.73124,,,,oHSV + Trab.
12,,,,,268.22796,182.74048,135.92384,440.128,277.875,110.11,252.52344,,,,,,,,,oHSV + Trab.
13,,,,,,,,,,,,196.599,110.41732,77.09364,155.987,,347.48116,386.048,249.0254,oHSV + Trab.
14,276.34932,201.97632,308.3054,1486.94416,,,,,,,,,,,,1486.94416,,,,oHSV + Trab.
15,,,,,299.52,166.13376,165.90912,366.58388,274.33692,114.1504,249.704,,,,,,,,,oHSV + Trab.
16,,,,,,,,,,,,,,,,,315.54432,321.76976,228.4256,oHSV + Trab.
17,255.2992,257.4,290.9634,1486.94416,,,,,,,,234,58.65028,131.04,127.296,1486.94416,,,,oHSV + Trab.
19,,,,,199.22032,187.54944,153.79,,,,,,,,,,,,,oHSV + Trab.
20,,,,,,,,,,,,,,,,,246.28864,254.8,155.91264,oHSV + Trab.
21,227.8016,190.63044,237.21984,2224.0218,,,,,,,,243.85504,65.4368,43.11216,112.51968,2224.0218,,,,oHSV + Trab.
22,,,,,228.15,127.92832,137.92272,210.71648,283.725,95.953,266.175,,,,,,,,,oHSV + Trab.
24,113.256,189.07668,268.9128,,,,,,,,,241.67,46.592,68.6686,241.67,,,,,oHSV + Trab.
27,,,,,,,,,,,,,,,,,275.8522,327.38368,233.49664,oHSV + Trab.
28,191.35636,241.08396,240.2816,,,,,90.9792,256.2768,52.34944,222.8148,633.555,62.02872,47.385,303.64308,,,,,oHSV + Trab.
29,,,,,222.3,149.396,87.17696,,,,,,,,,,,,,oHSV + Trab.
30,,,,,,,,,,,,,,,,,228.15,221.897,320.70168,oHSV + Trab.
31,193.648,139.37924,175.77612,,,,,,,,,799.0528,92.02284,65,377.84448,,,,,oHSV + Trab.
34,,,,,,,,,,,,,,,,,187.54944,191.89248,508.21524,oHSV + Trab.
35,115.84768,94.9442,142.805,,117.6578,78.65676,50.544,,,,,1258.491,72.62112,59.73136,950.976,,,,,oHSV + Trab.
36,,,,,,,,28.53344,186.745,47.385,140.4,,,,,,,,,oHSV + Trab.
37,,,,,,,,,,,,,,,,,177.40528,179.712,800.865,oHSV + Trab.
39,,,,,,,,,,,,1674.08696,132.13876,78,723.58,,,,,oHSV + Trab.
40,,,,,,,,,,,,,,,,,161.06532,173.77152,849.1392,oHSV + Trab.
42,334.34856,121.68,149.396,,,,,,,,,,,,,,,,,oHSV + Trab.
43,,,,,23.868,109.25824,38.29488,6.37,192.5352,61.10208,104.74776,2049.5748,321.75,121.121,1289.34468,,,,,oHSV + Trab.
45,526.5,113.7032,105.391,,,,,,,,,,,,,,,,,oHSV + Trab.
46,,,,,,,,,,,,,446.93532,169.884,1956.864,,,,,oHSV + Trab.
48,,,,,,,,,,,,,,,,,156.39676,290.9634,2524.05504,oHSV + Trab.
49,1187.92908,198.744,104.9568,,,,,,,,,,,,,,,,,oHSV + Trab.
50,,,,,,,,,,,,,709.4386,382.72,,,,,,oHSV + Trab.
51,,,,,,,,,,,,,,,,,140.57472,221.21216,,oHSV + Trab.
52,1691.872,309.504,91.234,,,,,,,,,,,,,,,,,oHSV + Trab.
53,,,,,,,,,,,,,888.64256,694.76056,,,,,,oHSV + Trab.
55,2078.43584,459.06432,57.434,,,,,,,,,,,,,,138.27996,168.33804,,oHSV + Trab.
57,,,,,,,,0,1140.43176,22.295,106.62964,,1550.58176,1685.73184,,,,,,oHSV + Trab.
58,,,,,,,,,,,,,,,,,109.8162,187.43296,,oHSV + Trab.
60,,,,,,,,,,,,,1757.6,1924.208,,,,,,oHSV + Trab.
62,,,,,,,,,,,,,,,,,135.4444,127.95328,,oHSV + Trab.
63,,1060.33616,60.88004,,,,,,,,,,,,,,,,,oHSV + Trab.
64,,,,,0,104.9568,22.295,,,,,,,,,,,,,oHSV + Trab.
66,,1396.30608,49.491,,,,,,,,,,,,,,,,,oHSV + Trab.
70,,1671.3216,11.7,,,,,,,,,,,,,,,,,oHSV + Trab.
73,,1742.68224,10.92,,,,,,,,,,,,,,,,,oHSV + Trab.
77,,2077.0048,9.0428,,,,,,,,,,,,,,,,,oHSV + Trab.
