timepoint,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Treatment
0,274.479521,348.73561,212.030653,246.195155,336.780018,334.464035,238.161054,Trab.
3,913.10128,643.79952,370.7028,561.6,730.3608,507.98592,647.15144,Trab.
7,817.96,743.60832,358.39232,472.3056,1087.39072,722.84004,713.5128,Trab.
11,1157.41704,,,726.71924,,1141.3766,1683.4896,Trab.
14,1403.4384,,,826.77504,,1295.27424,1346.10944,Trab.
17,1930.5,,,1083.5552,,,,Trab.
18,2148.796,,,1279.2832,,1681.68,1590.86044,Trab.
21,,,,1397.22752,,1923.28344,1817.82848,Trab.
25,,,,1633.9752,,,,Trab.
28,,,,2336.6304,,,,Trab.
