timepoint,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Trabectedin,Treatment
0,277.4772,322.816,299.52,275.8522,334.373,299.52,426.84928,349.44,296.192,273.36192,429.624,387.504,322.69536,317.28996,281.56752,250.58176,332.8,244.88672,358.39232,191.6928,251.55,Trab.
1,,,,438.048,400.14,355.90464,492.804,462.30912,430.612,416.22984,453.33184,361.51648,,,,,,,,,,Trab.
3,,,,519.20336,400.46916,480.168,972.59968,,,,,,684.9752,603.2,440.81856,638.38944,610.09,307.69024,708.46412,403.6032,490.89768,Trab.
5,279.76104,502.151,750.1312,,,,,661.34016,546,601.90832,563.16,595.1088,,,,,,,,,,Trab.
7,296.192,384.6128,950.976,745.29,304.4938,542.17696,1017.796,,,,,,1057.1418,912.34,877.29304,1337.58976,1153.152,595.80144,967.46,880.256,862.004,Trab.
8,276.224,403.8216,802.62,,,,,827.502,572,779.07648,608.4,832.117,,,,,,,,,,Trab.
9,,,,1140.7266,342.784,548.69256,1554.50932,,,,,,,,,,,,,,,Trab.
10,,,,,,,,,,,,,1557.5976,1370.41632,1370.41632,2246.63296,1914.0264,750.13848,1406.08,1191.91072,1185.55892,Trab.
12,340.7586,440.62044,1490.26124,2008.74648,326.859,757.4112,2273.726,1031.55,660.22736,814.03504,539.695,898.56,,,,,,,,,,Trab.
14,,,,,,,,,,,,,2078.85444,2221.0656,2537.20116,,,1218.75,2486.8584,2084.16208,2002.68848,Trab.
15,339.15856,360.65952,1756.7784,,370.7028,816.92208,,1084.5536,868.8576,950.51008,626.87196,1073.2176,,,,,,,,,,Trab.
17,,,,,,,,,,,,,,,,,,1544.751,,,,Trab.
19,434.91812,450.684,2445.3,,347.48116,1267.05384,,1088.94032,1060.33616,974.61,634.24816,1672.749,,,,,,,,,,Trab.
21,,,,,,,,,,,,,,,,,,1488.37104,,,,Trab.
22,466.53568,334.26796,,,431.90368,2038.4,,1356.875,1175.71584,1301.41648,949.026,1898.22464,,,,,,2038.4,,,,Trab.
26,572.44356,505.44,,,400.14,,,1652.144,1089.09684,1863.056,1258.7328,2406.69,,,,,,,,,,Trab.
28,,,,,,,,2038.4,1198.08,,1123.2,,,,,,,,,,,Trab.
29,528.3928,539.136,,,453.33184,,,,,,,,,,,,,,,,,Trab.
33,639.24224,451.01056,,,418.26564,,,,1428.20496,,1432.444,,,,,,,,,,,Trab.
35,,,,,400.14,,,,,,,,,,,,,,,,,Trab.
36,900.15744,494.2704,,,,,,,2050.2144,,1533.5424,,,,,,,,,,,Trab.
39,,,,,338.13,,,,,,,,,,,,,,,,,Trab.
40,893.464,469.20224,,,,,,,,,1527.5,,,,,,,,,,,Trab.
42,,,,,319.345,,,,,,,,,,,,,,,,,Trab.
43,1156.46076,572.546,,,,,,,,,,,,,,,,,,,,Trab.
46,,,,,198.744,,,,,,,,,,,,,,,,,Trab.
47,1280.69136,820.08576,,,,,,,,,,,,,,,,,,,,Trab.
50,1388.70784,852.58056,,,,,,,,,,,,,,,,,,,,Trab.
54,1078.83152,377.61984,,,,,,,,,,,,,,,,,,,,Trab.
61,1887.3504,926.24896,,,,,,,,,,,,,,,,,,,,Trab.
64,1763.216,990.288,,,,,,,,,,,,,,,,,,,,Trab.
68,1891.409,962.7826,,,,,,,,,,,,,,,,,,,,Trab.
71,1456.86528,1199.6504,,,,,,,,,,,,,,,,,,,,Trab.
74,2101.25916,1108.29888,,,,,,,,,,,,,,,,,,,,Trab.
82,,1253.82816,,,,,,,,,,,,,,,,,,,,Trab.
85,,1362.1608,,,,,,,,,,,,,,,,,,,,Trab.
89,,1265.472,,,,,,,,,,,,,,,,,,,,Trab.
92,,1405.7472,,,,,,,,,,,,,,,,,,,,Trab.
96,,1257.984,,,,,,,,,,,,,,,,,,,,Trab.
