timepoint,6R,6B,6N,6-2R,7L,7-2R,8R,8L,9-2R,Treatment
0,214.032,246.76704,131.04,175.77612,146.96448,117.6578,161.06532,80.14656,89.26632,Trab.
2,204.87168,301.81476,189.07668,275.24016,183.8174,173.563,173.12256,131.92608,125.56544,Trab.
7,504.40208,775.23732,186.7424,418.1216,227.8016,363.63392,183.456,107.62752,84.71944,Trab.
8,796.887,967.65084,183.20328,459.472,623.38484,459.06432,151.76304,87.6408,58.58268,Trab.
15,1307.826,1219.3974,153.91376,782.92448,1073.2176,1001.46592,116.064,83.85624,0,Trab.
19,2517.4656,1886.21056,210.26304,1164.32784,1705.548,1554.75216,61.61792,70.2,0,Trab.
22,,2189.26656,306.176,2082.6,2415.49776,2061.345,108.45536,106.964,0,Trab.
29,,,573.73472,,,,216.41152,252.16828,0,Trab.
33,,,913.536,,,,325.98748,351.40716,0,Trab.
36,,,1258.062,,,,465.06096,503.71776,0,Trab.
40,,,2224.44144,,,,525.616,582.22892,0,Trab.
42,,,,,,,696.55716,742.02544,0,Trab.
44,,,,,,,859.625,896.9688,0,Trab.
50,,,,,,,1610.336,1215.12976,0,Trab.
53,,,,,,,1923.28344,1517.7162,0,Trab.
54,,,,,,,2705.04,1542.06104,0,Trab.
59,,,,,,,,1850.52348,0,Trab.
63,,,,,,,,2151.3024,0,Trab.
66,,,,,,,,,0,Trab.
70,,,,,,,,,0,Trab.
73,,,,,,,,,0,Trab.
77,,,,,,,,,0,Trab.
80,,,,,,,,,0,Trab.
84,,,,,,,,,0,Trab.
87,,,,,,,,,0,Trab.
91,,,,,,,,,0,Trab.
94,,,,,,,,,0,Trab.
98,,,,,,,,,0,Trab.
101,,,,,,,,,0,Trab.
105,,,,,,,,,0,Trab.
108,,,,,,,,,0,Trab.
112,,,,,,,,,0,Trab.
115,,,,,,,,,0,Trab.
119,,,,,,,,,0,Trab.
122,,,,,,,,,0,Trab.
126,,,,,,,,,0,Trab.
130,,,,,,,,,0,Trab.
133,,,,,,,,,0,Trab.
136,,,,,,,,,0,Trab.
140,,,,,,,,,0,Trab.
143,,,,,,,,,0,Trab.
147,,,,,,,,,0,Trab.
150,,,,,,,,,0,Trab.
154,,,,,,,,,0,Trab.
157,,,,,,,,,0,Trab.
162,,,,,,,,,0,Trab.
164,,,,,,,,,0,Trab.
168,,,,,,,,,0,Trab.
171,,,,,,,,,0,Trab.
175,,,,,,,,,0,Trab.
178,,,,,,,,,0,Trab.
182,,,,,,,,,0,Trab.
